"zcta","sldl22","ZIPName","pop20","afact"
"ZIP census tabulation area","State legislative district, lower (2022)","ZIP Code name","Total population (2020 Census)","zcta-to-sldl22 allocation factor"
"96797","037","Waipahu, HI",7663,0.0981 
"96797","039","Waipahu, HI",22363,0.2863 
"96797","046","Waipahu, HI",5,0.0001 
"96813","025","Honolulu, HI",13796,0.504 
"96813","026","Honolulu, HI",4597,0.1679 
"96813","027","Honolulu, HI",8163,0.2982 
"96813","028","Honolulu, HI",816,0.0298 
"96814","023","Honolulu, HI",5635,0.2266 
"96814","024","Honolulu, HI",2522,0.1014 
"96814","025","Honolulu, HI",14364,0.5776 
"96814","026","Honolulu, HI",2349,0.0945 
"96815","020","Honolulu, HI",8316,0.2889 
"96815","024","Honolulu, HI",20470,0.7111 
"96816","019","Honolulu, HI",3352,0.065 
"96816","020","Honolulu, HI",18711,0.3627 
"96816","021","Honolulu, HI",27188,0.527 
"96816","022","Honolulu, HI",769,0.0149 
"96816","023","Honolulu, HI",1566,0.0304 
"96817","025","Honolulu, HI",21,0.0004 
"96817","027","Honolulu, HI",19397,0.3414 
"96817","028","Honolulu, HI",26426,0.4651 
"96817","029","Honolulu, HI",4479,0.0788 
"96817","030","Honolulu, HI",6500,0.1144 
"96818","030","Honolulu, HI",8438,0.1627 
"96818","031","Honolulu, HI",30318,0.5847 
"96818","032","Honolulu, HI",13095,0.2526 
"96819","028","Honolulu, HI",260,0.0049 
"96819","029","Honolulu, HI",23103,0.4332 
"96819","030","Honolulu, HI",19503,0.3657 
"96819","031","Honolulu, HI",252,0.0047 
"96819","032","Honolulu, HI",10216,0.1915 
"96820","030","Honolulu, HI (PO boxes)",16,1 
"96821","019","Honolulu, HI",19727,1 
"96822","022","Honolulu, HI",21852,0.5174 
"96822","026","Honolulu, HI",20379,0.4826 
"96825","018","Honolulu, HI",27341,0.8778 
"96825","019","Honolulu, HI",3806,0.1222 
"96826","022","Honolulu, HI",4396,0.1461 
"96826","023","Honolulu, HI",19829,0.6589 
"96826","024","Honolulu, HI",5425,0.1803 
"96826","026","Honolulu, HI",442,0.0147 
"96848","022","Honolulu, HI",475,1 
"96850","025","Honolulu, HI",6,1 
"96853","030","Jbphh, HI",347,1 
"96857","046","Schofield Barracks, HI",4058,1 
"96858","032","Fort Shafter, HI",424,1 
"96860","031","Jbphh, HI",5025,1 
"96863","050","Mcbh Kaneohe Bay, HI",2458,1 
