NAME,state,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
Hawaii,15,15001,94410,15610,0.165343,2362.2,36874000,944.88,14749600,11040,0.116937,1965.76,21702000,200629
Honolulu,15,15003,476670,54310,0.113936,2166.84,117681000,866.74,47072400,39640,0.08316,1955.4,77512000,1016508
Kauai,15,15007,36620,4630,0.126434,2088.55,9670000,835.42,3868000,3260,0.089022,1916.26,6247000,73298
Maui,15,15009,82270,10440,0.126899,2072.61,21638000,829.04,8655200,7310,0.088854,1936.25,14154000,164836
